Price,Carat,Clarity,Color,Cut,Table,Length,Width,Depth,DepthPercentage
698,0.31,VS1,H,Very Good,57,4.34,4.31,2.73,63.1
698,0.34,VS1,E,Ideal,57,4.46,4.51,2.79,62.2
698,0.31,VS2,G,Ideal,57,4.37,4.33,2.67,61.4
698,0.31,SI1,E,Very Good,57,4.35,4.3,2.73,63.1
698,0.31,SI1,E,Very Good,57,4.32,4.28,2.73,63.5
698,0.31,SI1,E,Ideal,54,4.36,4.35,2.73,62.7
698,0.31,VS2,G,Good,56,4.29,4.26,2.72,63.6
698,0.31,VS2,G,Very Good,59,4.32,4.29,2.73,63.4
699,0.33,VS1,G,Ideal,56,4.45,4.48,2.74,61.5
700,0.38,VS1,I,Premium,60,4.66,4.72,2.81,59.9
700,0.42,SI2,D,Ideal,57,4.78,4.81,2.99,62.4
700,0.42,SI1,H,Very Good,57,4.76,4.84,3.02,62.9
700,0.38,SI1,E,Very Good,59,4.64,4.67,2.85,61.2
702,0.32,VS2,E,Ideal,55,4.36,4.42,2.71,61.7
702,0.4,SI1,G,Premium,60,4.67,4.71,2.88,61.4
702,0.32,VS2,E,Ideal,55,4.37,4.38,2.72,62.2
702,0.32,VS2,E,Ideal,54,4.4,4.42,2.74,62.1
702,0.32,VS2,E,Ideal,55,4.4,4.42,2.74,62.1
702,0.34,VS2,E,Ideal,56,4.48,4.5,2.76,61.5
702,0.33,VVS2,G,Very Good,62,4.39,4.43,2.71,61.5
702,0.32,VS2,E,Premium,59,4.35,4.39,2.68,61.3
702,0.32,VS2,E,Ideal,54,4.37,4.4,2.73,62.3
702,0.4,SI1,G,Very Good,61,4.7,4.76,2.89,61.1
702,0.32,VS2,E,Premium,59,4.44,4.45,2.71,61
702,0.34,VS1,E,Ideal,56,4.46,4.49,2.81,62.8
702,0.4,SI1,G,Very Good,59,4.67,4.71,2.94,62.7
703,0.37,VS1,F,Ideal,55,4.66,4.69,2.85,61
704,0.31,VVS2,E,Very Good,59,4.46,4.45,2.62,58.8
704,0.35,VS2,E,Ideal,56,4.49,4.51,2.79,62
704,0.3,VS1,F,Very Good,63,4.26,4.31,2.61,60.9
705,0.41,SI1,E,Ideal,57,4.78,4.8,2.94,61.4
705,0.41,SI1,E,Very Good,60,4.74,4.78,2.94,61.8
705,0.4,SI1,H,Ideal,52,4.73,4.76,2.97,62.6
705,0.38,VS2,G,Very Good,59,4.65,4.7,2.88,61.6
705,0.4,SI1,H,Ideal,55,4.73,4.77,2.95,62.1
705,0.41,SI1,E,Ideal,56,4.77,4.78,2.95,61.8
705,0.41,SI1,E,Very Good,61,4.75,4.78,2.93,61.5
705,0.38,VS1,H,Very Good,54,4.68,4.7,2.88,61.3
706,0.35,VS2,F,Ideal,54,4.54,4.58,2.8,61.4
706,0.35,VS2,F,Premium,59,4.51,4.55,2.81,62
706,0.35,VS2,F,Ideal,55,4.48,4.53,2.8,62.2
706,0.31,VVS2,F,Ideal,53,4.37,4.41,2.73,62.2
706,0.35,VS1,G,Ideal,56,4.57,4.6,2.78,60.6
706,0.43,SI1,F,Good,61,4.86,4.89,2.96,60.7
706,0.35,VS2,F,Ideal,55,4.51,4.53,2.82,62.4
706,0.35,VS2,F,Ideal,57,4.52,4.56,2.76,60.8
706,0.35,VS2,F,Ideal,57,4.53,4.55,2.82,62.1
706,0.35,VS2,F,Premium,58,4.48,4.54,2.79,61.9
706,0.32,SI1,D,Good,55,4.33,4.31,2.75,63.7
706,0.35,VS2,F,Ideal,56,4.54,4.57,2.83,62.1
706,0.32,SI1,D,Ideal,56,4.4,4.38,2.76,62.9
706,0.32,VS1,D,Ideal,56,4.44,4.46,2.69,60.4
707,0.32,VS1,G,Ideal,55,4.45,4.43,2.72,61.3
707,0.35,VS2,D,Ideal,56,4.6,4.63,2.79,60.5
707,0.31,VVS1,H,Ideal,57,4.32,4.35,2.68,61.8
707,0.31,VVS1,H,Premium,58,4.4,4.43,2.67,60.5
707,0.31,VVS2,G,Premium,59,4.32,4.36,2.7,62.2
707,0.31,VVS2,G,Premium,58,4.39,4.43,2.67,60.5
707,0.31,VVS1,H,Good,56,4.3,4.32,2.73,63.3
707,0.31,VVS1,H,Very Good,58,4.32,4.34,2.68,61.9
707,0.31,VVS2,G,Good,57,4.3,4.32,2.72,63.1
707,0.31,VVS1,H,Ideal,54,4.36,4.39,2.72,62.2
707,0.31,VVS2,G,Very Good,58,4.27,4.31,2.7,62.9
707,0.28,VVS2,F,Very Good,55,4.18,4.2,2.62,62.6
707,0.31,VVS2,G,Good,59,4.26,4.29,2.71,63.4
708,0.32,VVS2,G,Ideal,54,4.39,4.42,2.73,62
709,0.3,SI1,D,Premium,60,4.28,4.25,2.63,61.7
709,0.3,SI1,D,Ideal,55,4.33,4.29,2.68,62.2
709,0.3,SI1,D,Premium,58,4.31,4.27,2.68,62.5
709,0.3,VVS1,I,Ideal,56,4.33,4.3,2.68,62.1
709,0.3,VVS1,I,Very Good,57,4.29,4.27,2.7,63.1
709,0.3,SI1,D,Premium,60,4.35,4.3,2.64,61
709,0.3,VVS1,I,Premium,59,4.29,4.24,2.68,62.8
709,0.3,SI1,D,Ideal,56,4.37,4.35,2.66,61
709,0.3,SI1,D,Premium,56,4.29,4.24,2.67,62.6
709,0.3,SI1,D,Ideal,54,4.34,4.32,2.68,61.9
709,0.3,SI1,D,Premium,59,4.25,4.22,2.64,62.3
709,0.3,SI1,D,Very Good,56,4.27,4.24,2.69,63.2
709,0.3,SI1,D,Ideal,57,4.32,4.29,2.69,62.5
709,0.3,SI1,D,Good,57,4.29,4.27,2.73,63.8
710,0.3,VS2,D,Ideal,55,4.3,4.31,2.69,62.5
710,0.3,VS2,D,Very Good,61,4.22,4.25,2.65,62.6
710,0.3,VS1,E,Ideal,56,4.31,4.37,2.67,61.5
710,0.38,SI1,F,Ideal,55,4.63,4.76,2.88,61.3
710,0.3,VS2,D,Premium,58,4.32,4.35,2.64,60.9
710,0.31,VVS1,G,Very Good,56,4.26,4.28,2.69,63
710,0.3,VS2,D,Premium,59,4.26,4.31,2.62,61.1
710,0.3,VS2,D,Premium,59,4.32,4.35,2.62,60.4
710,0.3,VS2,D,Ideal,57,4.33,4.38,2.65,60.8
710,0.3,VS1,E,Premium,58,4.31,4.33,2.67,61.8
710,0.24,VVS1,D,Premium,60,4,3.97,2.45,61.5
710,0.3,VS2,D,Very Good,58,4.23,4.26,2.67,62.9
710,0.3,VS2,D,Ideal,55,4.32,4.34,2.66,61.4
710,0.31,VVS2,E,Very Good,55,4.37,4.41,2.7,61.5
710,0.3,VS2,D,Premium,59,4.33,4.35,2.62,60.4
710,0.31,VVS2,E,Ideal,61,4.37,4.44,2.66,60.4
711,0.4,SI1,G,Very Good,56,4.77,4.8,2.92,61
711,0.39,SI1,F,Ideal,55,4.66,4.71,2.9,61.8
711,0.41,SI1,F,Ideal,54,4.74,4.78,2.98,62.6
712,0.29,VS2,G,Very Good,58,4.25,4.27,2.62,61.5
713,0.33,VVS2,G,Ideal,55,4.41,4.44,2.74,61.9
713,0.38,VS2,F,Good,62,4.52,4.56,2.88,63.4
713,0.34,VVS2,G,Very Good,57,4.53,4.56,2.74,60.4
713,0.43,I1,E,Premium,62,5,4.94,2.9,58.4
714,0.34,VS2,G,Premium,62,4.56,4.54,2.71,59.6
714,0.34,SI1,E,Very Good,57,4.47,4.44,2.82,63.3
714,0.34,SI1,E,Very Good,55,4.47,4.44,2.83,63.5
714,0.37,VVS2,I,Very Good,58,4.64,4.68,2.84,60.9
715,0.32,SI1,D,Ideal,54,4.4,4.45,2.75,62.1
715,0.38,VS2,G,Very Good,62,4.66,4.68,2.79,59.7
715,0.32,SI1,D,Ideal,55,4.45,4.48,2.72,60.9
716,0.43,SI2,D,Very Good,58,4.86,4.9,2.98,61.1
716,0.43,SI1,H,Ideal,56,4.83,4.86,3.02,62.3
716,0.43,SI2,D,Ideal,57,4.81,4.86,2.95,61
716,0.32,VS1,F,Ideal,54,4.42,4.44,2.7,61
716,0.43,VS2,I,Ideal,55,4.85,4.89,3.01,61.8
716,0.43,SI2,D,Premium,58,4.85,4.91,2.96,60.7
716,0.39,SI2,G,Ideal,56,4.78,4.74,2.9,60.9
717,0.41,SI1,D,Very Good,56,4.75,4.8,3.01,63
717,0.4,VS2,H,Good,62,4.75,4.66,2.97,63.1
718,0.35,VS1,E,Premium,58,4.47,4.5,2.79,62.2
719,0.41,SI1,G,Premium,59,4.76,4.79,2.88,60.3
719,0.41,SI1,G,Premium,59,4.71,4.73,2.91,61.7
719,0.47,SI2,F,Fair,57,4.81,4.72,3.23,67.6
719,0.41,SI1,G,Premium,60,4.75,4.81,2.93,61.3
719,0.41,SI1,G,Premium,58,4.76,4.8,2.93,61.3
719,0.41,SI1,G,Very Good,60,4.76,4.8,2.88,60.3
720,0.32,VS1,H,Ideal,54,4.41,4.37,2.76,62.9
720,0.32,SI1,E,Premium,59,4.39,4.36,2.71,61.9
720,0.32,SI1,E,Premium,60,4.44,4.39,2.66,60.2
720,0.32,VS2,G,Premium,59,4.41,4.37,2.72,62
720,0.32,VS2,G,Ideal,55,4.43,4.41,2.73,61.8
720,0.32,VS2,G,Ideal,57,4.41,4.39,2.73,62
720,0.4,SI1,D,Very Good,61,4.66,4.69,2.92,62.5
720,0.32,VS2,G,Ideal,56,4.42,4.38,2.75,62.5
720,0.4,VS2,D,Very Good,58,4.76,4.82,2.9,60.5
720,0.45,SI2,J,Premium,57,4.95,4.9,3.05,60.9
720,0.32,VS2,G,Premium,58,4.42,4.41,2.67,60.5
720,0.32,VVS2,I,Premium,59,4.38,4.35,2.7,61.9
720,0.32,VVS2,I,Ideal,56,4.42,4.4,2.71,61.5
720,0.32,SI1,E,Premium,57,4.43,4.38,2.74,62.2
720,0.32,VS2,G,Premium,59,4.36,4.33,2.71,62.4
721,0.38,VS1,H,Ideal,55,4.68,4.72,2.87,61.1
721,0.3,VVS2,E,Ideal,55,4.31,4.34,2.68,62
721,0.38,VS2,G,Ideal,58,4.75,4.77,2.83,59.5
722,0.31,VS1,E,Ideal,55,4.39,4.41,2.71,61.6
722,0.4,VS2,G,Fair,55,4.62,4.64,2.99,64.6
722,0.42,SI1,E,Very Good,61,4.82,4.87,2.98,61.5
722,0.42,SI1,F,Good,56,4.75,4.79,3.02,63.3
723,0.33,VS2,E,Ideal,56,4.46,4.48,2.77,62
723,0.33,VS2,E,Ideal,56,4.45,4.48,2.73,61.1
723,0.33,VS2,E,Premium,59,4.39,4.41,2.73,62
723,0.34,VS1,F,Ideal,57,4.53,4.56,2.77,60.9
723,0.33,VS2,E,Ideal,57,4.51,4.54,2.73,60.3
723,0.33,VS2,E,Ideal,57,4.45,4.47,2.71,60.8
723,0.4,VS2,F,Good,56,4.65,4.71,3,64.1
723,0.33,VS2,E,Ideal,57,4.44,4.46,2.74,61.6
723,0.33,VS2,E,Ideal,56,4.43,4.46,2.76,62.1
723,0.33,VS2,E,Ideal,56,4.46,4.47,2.78,62.3
724,0.26,VVS2,E,Premium,61,4.19,4.16,2.46,58.9
724,0.43,SI1,G,Premium,59,4.8,4.82,3.01,62.6
724,0.26,VVS2,D,Good,56,4.09,4.06,2.59,63.6
725,0.31,VVS1,E,Ideal,60,4.38,4.42,2.63,59.8
725,0.32,VS1,F,Ideal,55,4.4,4.44,2.71,61.3
725,0.36,VS1,G,Ideal,58,4.59,4.61,2.83,61.5
725,0.41,SI1,E,Very Good,61,4.74,4.77,2.9,61
725,0.34,VS1,F,Premium,59,4.59,4.55,2.74,60
726,0.36,VS1,G,Premium,59,4.5,4.55,2.82,62.3
726,0.4,SI1,D,Ideal,56,4.75,4.78,2.92,61.3
726,0.38,VS2,G,Ideal,57,4.68,4.71,2.83,60.4
726,0.34,VS2,F,Ideal,56,4.48,4.51,2.79,62.1
726,0.36,VS2,F,Ideal,55,4.55,4.58,2.83,62
727,0.36,VS2,D,Premium,58,4.63,4.66,2.8,60.3
727,0.4,VS2,I,Ideal,57,4.67,4.71,2.93,62.5
727,0.41,SI2,D,Very Good,57,4.71,4.73,3.01,63.8
727,0.34,SI1,F,Premium,60,4.58,4.52,2.7,59.3
727,0.36,VS1,E,Premium,59,4.57,4.6,2.82,61.5
727,0.5,I1,G,Fair,56,4.95,4.89,3.21,65.2
728,0.37,VS2,E,Very Good,55,4.52,4.57,2.91,64
728,0.33,SI1,D,Ideal,56,4.47,4.44,2.76,62
728,0.3,VVS2,F,Ideal,54.1,4.31,4.33,2.67,61.9
729,0.36,VS2,H,Premium,60,4.6,4.55,2.79,61
729,0.32,VVS2,E,Ideal,57,4.38,4.41,2.69,61.2
730,0.32,VVS2,G,Ideal,57,4.41,4.44,2.73,61.7
730,0.32,VVS2,G,Ideal,56,4.41,4.42,2.7,61.2
730,0.34,VS2,F,Very Good,57.5,4.4,4.45,2.77,62.5
730,0.32,VVS1,H,Ideal,56,4.37,4.38,2.72,62.2
730,0.32,VVS2,G,Very Good,58,4.35,4.37,2.73,62.6
730,0.33,VVS1,H,Ideal,55,4.45,4.48,2.75,61.6
730,0.32,VVS2,G,Premium,60,4.37,4.4,2.7,61.6
730,0.32,VVS1,H,Premium,58,4.4,4.43,2.69,60.9
730,0.32,VVS2,G,Ideal,55,4.35,4.38,2.71,62.1
730,0.32,VVS2,G,Ideal,57,4.4,4.42,2.74,62.1
730,0.32,VVS1,H,Ideal,55,4.37,4.38,2.71,61.9
730,0.32,VVS2,G,Ideal,55,4.4,4.44,2.74,62
730,0.32,VVS2,G,Ideal,57,4.41,4.43,2.68,60.6
730,0.32,VVS2,G,Ideal,56,4.43,4.44,2.72,61.3
731,0.3,VS1,F,Ideal,55,4.36,4.32,2.66,61.3
731,0.4,VS1,H,Premium,59,4.63,4.71,2.93,62.7
731,0.43,VS2,J,Very Good,59,4.86,4.9,2.97,60.9
732,0.31,SI1,D,Ideal,57,4.36,4.33,2.69,61.9
732,0.31,SI1,D,Ideal,55,4.37,4.34,2.71,62.2
732,0.31,VVS1,I,Premium,58,4.39,4.33,2.66,61
732,0.31,SI1,D,Good,54,4.3,4.27,2.74,63.9
732,0.31,VVS1,I,Ideal,54,4.37,4.34,2.7,62
732,0.31,SI1,D,Premium,58,4.35,4.3,2.68,62
732,0.31,SI1,D,Premium,61,4.43,4.41,2.65,60
732,0.31,VVS1,I,Ideal,56,4.38,4.35,2.71,62.1
732,0.31,SI1,D,Ideal,55,4.49,4.37,2.71,61.2
732,0.31,VVS1,I,Very Good,59,4.31,4.25,2.7,63.1
732,0.41,SI2,G,Good,55,4.75,4.7,3.01,63.7
732,0.41,VS2,J,Good,59,4.71,4.64,2.99,64
733,0.44,SI1,H,Good,57,4.82,4.85,3.07,63.5
733,0.26,IF,F,Ideal,56,4.07,4.1,2.53,62
733,0.38,SI1,D,Very Good,61,4.75,4.79,2.81,58.9
733,0.35,VVS1,H,Very Good,56,4.54,4.57,2.78,61.1
734,0.31,VS2,D,Ideal,56,4.34,4.36,2.72,62.5
734,0.31,VS1,E,Ideal,57,4.37,4.4,2.65,60.4
734,0.4,VS1,J,Good,56,4.69,4.66,2.99,64
734,0.31,VS1,E,Premium,58,4.37,4.39,2.67,61
734,0.31,VS2,D,Ideal,56,4.34,4.35,2.7,62.1
734,0.31,VS2,D,Ideal,55,4.35,4.4,2.7,61.7
734,0.31,VS2,D,Ideal,56,4.32,4.33,2.69,62.2
734,0.31,VS2,D,Premium,59,4.32,4.37,2.66,61.2
734,0.31,VS2,D,Ideal,56,4.31,4.36,2.71,62.5
734,0.39,VS2,G,Very Good,61,4.71,4.73,2.85,60.4
734,0.31,VS2,D,Ideal,55,4.32,4.35,2.69,62.1
734,0.31,VS2,D,Ideal,55,4.33,4.37,2.71,62.3
734,0.31,VS2,D,Ideal,57,4.3,4.34,2.71,62.7
735,0.34,VVS2,G,Ideal,56,4.46,4.48,2.77,62
735,0.42,SI1,D,Very Good,59,4.77,4.79,3.01,63
735,0.3,VVS1,G,Ideal,54.9,4.3,4.33,2.68,62
735,0.3,VS1,E,Ideal,56,4.35,4.36,2.64,60.6
736,0.3,VS1,E,Ideal,57,4.3,4.34,2.65,61.3
736,0.4,VS1,I,Ideal,57,4.73,4.74,2.93,61.9
737,0.3,VVS2,F,Premium,58,4.29,4.31,2.64,61.5
737,0.42,SI1,G,Very Good,56,4.8,4.83,3.01,62.5
737,0.3,VVS1,G,Very Good,62,4.21,4.26,2.65,62.6
737,0.4,VS1,I,Very Good,59,4.68,4.73,2.96,62.9
737,0.4,SI1,F,Very Good,56,4.72,4.77,2.94,62
737,0.4,SI1,F,Premium,58,4.71,4.74,2.89,61.2
737,0.4,SI1,F,Very Good,57,4.67,4.72,2.92,62.2
737,0.3,VVS1,G,Premium,58,4.29,4.33,2.64,61.3
737,0.4,VS1,I,Good,55,4.65,4.69,2.98,63.8
737,0.4,SI1,E,Good,56,4.67,4.72,2.98,63.5
737,0.4,SI1,E,Ideal,57,4.69,4.72,2.95,62.7
737,0.3,VVS1,G,Ideal,56,4.32,4.34,2.66,61.4
737,0.4,SI1,E,Very Good,56,4.76,4.8,2.91,60.9
738,0.33,VS2,E,Ideal,55,4.47,4.5,2.76,61.5
738,0.41,SI1,D,Good,55,4.74,4.77,3.01,63.3
739,0.33,VVS2,F,Very Good,56,4.46,4.48,2.73,61.1
739,0.35,SI1,D,Good,60,4.69,4.64,2.69,57.7
739,0.32,VS1,E,Ideal,54,4.39,4.42,2.74,62.2
739,0.43,SI1,F,Premium,58,4.82,4.84,2.98,61.7
739,0.43,SI1,E,Premium,60,4.78,4.85,2.96,61.5
740,0.25,VVS2,E,Very Good,56,4.05,4,2.54,63.1
740,0.39,VS1,H,Ideal,57,4.71,4.76,2.93,61.9
740,0.34,VVS2,G,Very Good,59,4.45,4.48,2.78,62.3
740,0.25,VVS1,E,Premium,60,4.11,4.09,2.49,60.7
740,0.25,VVS1,F,Premium,59,4.1,4.07,2.48,60.7
740,0.25,VVS1,E,Premium,59,4.02,3.99,2.52,62.9
740,0.25,VVS2,E,Ideal,57,4.07,4.04,2.52,62.1
740,0.25,VVS2,E,Premium,59,4.08,4.05,2.52,62
740,0.25,VVS2,E,Premium,59,4.04,4.02,2.52,62.5
741,0.33,VVS2,E,Ideal,54,4.49,4.52,2.75,61
741,0.35,VS1,G,Ideal,54,4.58,4.63,2.83,61.3
741,0.3,VVS2,D,Ideal,56,4.38,4.42,2.62,59.5
741,0.36,VS2,F,Very Good,59,4.55,4.6,2.79,61.3
741,0.37,VS1,G,Ideal,54,4.62,4.68,2.88,61.9
741,0.4,SI1,G,Ideal,54,4.74,4.77,2.96,62.3
742,0.3,VVS2,E,Ideal,56,4.3,4.34,2.68,62
742,0.3,VS1,D,Ideal,57,4.27,4.3,2.69,62.8
742,0.41,VS2,I,Ideal,57,4.74,4.77,2.95,62
742,0.3,VS1,D,Ideal,59,4.29,4.31,2.63,61.2
742,0.3,VVS2,E,Ideal,56,4.34,4.38,2.67,61.2
742,0.3,VS1,D,Very Good,58,4.25,4.29,2.65,62.1
743,0.33,VS2,G,Premium,62,4.46,4.42,2.7,60.8
743,0.33,SI1,E,Premium,58,4.55,4.49,2.72,60.2
743,0.33,VVS2,I,Premium,58,4.45,4.43,2.73,61.5
743,0.3,IF,G,Very Good,58,4.35,4.38,2.64,60.5
743,0.33,VS2,G,Premium,59,4.46,4.4,2.74,61.9
743,0.33,SI1,E,Ideal,55,4.45,4.42,2.77,62.5
743,0.33,SI1,E,Premium,60,4.44,4.41,2.68,60.6
743,0.33,SI1,E,Premium,58,4.5,4.46,2.73,60.9
743,0.33,VS2,G,Ideal,56,4.47,4.44,2.77,62.2
743,0.33,SI1,E,Ideal,54,4.43,4.41,2.74,62
743,0.33,SI1,E,Premium,58,4.47,4.43,2.72,61.1
743,0.3,VVS2,E,Very Good,57,4.26,4.27,2.66,62.4
743,0.33,SI1,E,Very Good,55,4.4,4.37,2.78,63.4
743,0.42,SI1,E,Ideal,55,4.79,4.81,2.98,62.1
743,0.3,VVS2,F,Fair,61,4.19,4.15,2.73,65.5
743,0.3,VVS2,E,Ideal,55,4.3,4.34,2.68,62
743,0.33,VS2,G,Ideal,57,4.47,4.44,2.76,62
743,0.33,VS1,H,Ideal,57,4.54,4.5,2.72,60.2
743,0.33,SI1,E,Premium,60,4.49,4.47,2.7,60.3
743,0.33,VVS2,I,Premium,59,4.44,4.41,2.7,61
743,0.33,VVS2,I,Premium,59,4.47,4.41,2.76,62.2
744,0.35,SI1,E,Ideal,55,4.55,4.57,2.81,61.6
744,0.41,SI1,D,Ideal,55,4.77,4.8,2.96,61.9
744,0.31,VS1,F,Ideal,55,4.37,4.35,2.72,62.4
744,0.41,SI1,D,Ideal,57,4.81,4.85,2.92,60.5
744,0.31,VS2,F,Good,59,4.3,4.23,2.74,64.2
745,0.39,VS2,G,Ideal,57,4.69,4.74,2.9,61.5
745,0.34,VS2,E,Very Good,58,4.43,4.45,2.78,62.6
745,0.34,VS2,E,Ideal,54,4.5,4.52,2.8,62.1
745,0.34,VS2,E,Ideal,55,4.46,4.5,2.8,62.5
746,0.37,VS2,F,Premium,59,4.63,4.66,2.78,59.8
746,0.38,SI1,I,Premium,58,4.72,4.67,2.84,60.5
746,0.4,VS2,D,Very Good,58,4.69,4.72,2.93,62.3
746,0.38,SI1,I,Ideal,56,4.63,4.58,2.87,62.3
746,0.37,VS1,G,Good,56,4.57,4.59,2.89,63.1
746,0.36,VS1,G,Ideal,55,4.63,4.66,2.84,61.1
746,0.46,VS2,J,Ideal,56,4.96,5,3.06,61.4
746,0.37,VS1,G,Premium,58,4.67,4.71,2.79,59.5
747,0.36,VS2,E,Ideal,54,4.6,4.64,2.82,61
748,0.35,SI1,F,Very Good,56,4.51,4.46,2.83,63.1
748,0.29,IF,F,Ideal,56,4.27,4.3,2.65,61.9
749,0.31,VS1,G,Premium,61,4.45,4.42,2.58,58.2
749,0.31,VS2,F,Good,59,4.31,4.26,2.73,63.7
749,0.37,VS2,H,Premium,58,4.64,4.61,2.84,61.4
749,0.31,VS2,F,Premium,61,4.4,4.36,2.66,60.7
749,0.31,VVS1,G,Very Good,55,4.36,4.4,2.69,61.5
749,0.37,VS1,I,Premium,59,4.61,4.55,2.81,61.4
750,0.38,VS1,I,Very Good,55,4.65,4.67,2.89,62
750,0.4,VVS2,I,Good,62,4.75,4.79,2.85,59.7
751,0.34,VVS2,G,Ideal,53,4.49,4.52,2.81,62.4
751,0.34,VVS1,H,Ideal,56,4.51,4.56,2.77,61.1
752,0.38,VVS1,I,Very Good,57,4.6,4.63,2.93,63.5
752,0.33,VVS2,G,Very Good,57,4.42,4.44,2.71,61.2
752,0.31,VVS1,E,Very Good,57,4.41,4.44,2.67,60.3
752,0.3,VVS2,D,Very Good,56,4.27,4.29,2.69,62.9
752,0.33,VVS2,G,Premium,59,4.41,4.46,2.75,62
752,0.27,VVS2,E,Premium,59,4.18,4.14,2.57,61.8
752,0.33,VVS2,G,Premium,60,4.52,4.55,2.7,59.5
753,0.36,VVS2,G,Very Good,56,4.56,4.58,2.82,61.7
753,0.3,VVS1,G,Ideal,56,4.27,4.31,2.67,62.2
753,0.3,VVS1,G,Very Good,56,4.25,4.29,2.67,62.5
753,0.36,VS1,E,Ideal,55,4.58,4.66,2.84,61.5
753,0.41,SI1,E,Very Good,59,4.86,4.89,2.89,59.3
753,0.41,VVS2,I,Ideal,56,4.79,4.82,2.96,61.6
754,0.31,VS1,E,Ideal,55,4.4,4.42,2.7,61.2
754,0.43,SI1,G,Very Good,56,4.8,4.83,3.02,62.7
754,0.3,VVS2,D,Very Good,55,4.27,4.3,2.71,63.2
754,0.43,SI1,G,Very Good,58,4.87,4.9,2.95,60.4
754,0.43,SI1,G,Very Good,59,4.79,4.81,2.99,62.3
755,0.41,SI1,E,Premium,59,4.78,4.82,2.93,61
755,0.31,VVS1,H,Very Good,59,4.45,4.5,2.62,58.5
755,0.41,SI1,E,Very Good,59,4.74,4.75,2.98,62.8
755,0.41,SI1,E,Good,58,4.7,4.72,3.01,63.9
755,0.41,SI1,F,Premium,58,4.75,4.76,2.94,61.8
755,0.41,SI1,E,Very Good,55,4.74,4.78,2.97,62.4
755,0.41,SI1,E,Very Good,61,4.78,4.8,2.9,60.5
755,0.41,SI1,E,Ideal,57,4.74,4.77,2.98,62.7
755,0.31,VVS1,G,Ideal,62,4.41,4.43,2.61,59
755,0.38,SI1,G,Very Good,53.7,4.67,4.69,2.9,61.8
755,0.41,SI1,F,Very Good,57,4.69,4.73,2.96,62.8
756,0.31,VS2,E,Ideal,56,4.38,4.36,2.71,62
756,0.32,SI1,D,Ideal,55,4.39,4.36,2.74,62.6
756,0.32,SI1,D,Very Good,57,4.38,4.37,2.77,63.3
756,0.32,SI1,D,Premium,58,4.42,4.38,2.7,61.4
756,0.32,SI1,D,Premium,58,4.54,4.49,2.63,58.3
756,0.32,SI1,D,Premium,55,4.42,4.38,2.74,62.3
756,0.32,VVS1,I,Premium,61,4.45,4.4,2.66,60.1
756,0.36,VS2,G,Premium,58,4.55,4.51,2.83,62.5
756,0.44,SI1,F,Good,54,4.8,4.85,3.08,63.8
756,0.32,SI1,D,Ideal,57,4.37,4.34,2.73,62.7
756,0.32,SI1,D,Ideal,57,4.44,4.41,2.69,60.8
756,0.32,SI1,D,Ideal,56,4.35,4.34,2.73,62.8
756,0.32,SI1,D,Good,56,4.35,4.33,2.77,63.8
756,0.44,SI1,E,Good,57,4.81,4.85,3.06,63.4
756,0.35,VVS2,G,Ideal,55,4.54,4.56,2.81,61.8
756,0.32,SI1,D,Ideal,57,4.41,4.37,2.69,61.3
756,0.32,SI1,D,Premium,58,4.44,4.41,2.69,60.8
756,0.32,SI1,D,Ideal,55,4.42,4.39,2.7,61.3
756,0.32,VVS1,I,Ideal,55,4.4,4.37,2.74,62.5
756,0.32,SI1,D,Ideal,57,4.42,4.38,2.73,62
757,0.31,VS2,F,Ideal,55,4.36,4.38,2.69,61.6
758,0.32,VS1,E,Ideal,56,4.38,4.4,2.7,61.5
758,0.32,VS2,D,Ideal,55,4.39,4.43,2.73,61.9
758,0.32,VS2,D,Ideal,57,4.34,4.38,2.72,62.4
758,0.46,SI2,F,Ideal,54,4.98,5.01,3.07,61.5
758,0.32,VS2,D,Ideal,56,4.38,4.4,2.73,62.2
758,0.34,VS2,E,Ideal,54.1,4.47,4.5,2.78,62.1
758,0.32,VS2,D,Ideal,54,4.38,4.43,2.72,61.7
758,0.32,VS2,D,Ideal,57,4.37,4.39,2.71,61.9
758,0.32,VS2,D,Ideal,56,4.45,4.48,2.7,60.5
758,0.4,VVS2,I,Ideal,57,4.73,4.75,2.94,62
758,0.36,IF,I,Premium,59,4.58,4.63,2.76,59.9
758,0.46,SI2,F,Ideal,54,4.98,5.01,3.07,61.5
759,0.44,SI2,H,Premium,60,5.05,4.99,2.93,58.4
759,0.36,VS2,F,Ideal,56,4.61,4.64,2.82,61
760,0.27,IF,F,Ideal,57,4.17,4.19,2.57,61.4
760,0.27,IF,F,Ideal,55,4.13,4.16,2.61,63
760,0.27,VVS2,F,Ideal,55,4.1,4.12,2.58,62.7
760,0.37,VS2,D,Very Good,57,4.7,4.76,2.84,60
761,0.33,VVS2,F,Ideal,54,4.47,4.5,2.77,61.8
761,0.36,VS1,G,Ideal,57,4.58,4.62,2.79,60.6
761,0.3,VVS1,H,Premium,58,4.32,4.3,2.64,61.3
761,0.44,SI1,F,Ideal,56,4.89,4.94,3.02,61.4
761,0.3,VS1,D,Ideal,57,4.3,4.33,2.63,61
761,0.31,VVS1,G,Very Good,62,4.35,4.41,2.62,59.8
761,0.42,SI1,D,Ideal,54,4.84,4.86,3.01,62.1
761,0.31,IF,H,Ideal,57,4.38,4.4,2.67,60.8
